ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades,Mean fixation duration during head movement,Mean distance to figure,Mean angle around figure
103,2,second,23,48,2.2910600925970095,11,0.5250346045534813,0.18093333333333134,108.71889986978555,4.594194882308959
103,2,second,24,24,2.5265817454468906,13,1.3685651121170657,0.1000000000000227,110.36156865130354,2.907932696827596
103,2,second,25,31,2.696590118302023,15,1.3048016701461402,0.2956666666666573,109.58449630197974,2.4886063151555518
103,2,second,26,38,3.0327214684756587,18,1.4365522745411015,0.132000000000005,109.53527564420804,2.523417965644508
103,2,second,27,19,3.072941937570762,11,1.7790716480672832,0.1110000000000184,109.46374754835819,2.4440744823624647
103,2,second,28,34,1.9433013260173713,14,0.8001828989483293,0.28950000000000387,108.6309448050632,2.153923537969542
103,2,second,29,17,2.5556223692122666,10,1.5033072760072157,0.7340000000000018,110.06774262729976,2.7607093355758043
103,2,second,30,9,2.796768178993148,5,1.5537600994406378,0.11099999999999,109.76016282366862,2.5911967681382624
103,3,first,1,19,2.4570024570024556,12,1.5517910254752352,0.16300000000000145,109.18960225212467,2.581973032176108
103,3,first,2,10,3.063725490196069,5,1.5318627450980344,0.14833333333333107,109.42491539227235,2.627271492755581
103,3,first,3,28,2.3864314327111558,19,1.6193641864825699,0.4239999999999923,109.08238544299304,2.273331809408879
103,3,first,4,9,2.914507772020704,6,1.9430051813471363,,109.2121374344428,2.3350439876670768
103,3,first,5,18,2.779493514515133,11,1.6985793699814702,,109.31079201457304,2.4105775579250177
