stimulus,side,figure,cube,x,y,z
15,right,M6,8,87.716,21.047,108.199
15,right,M6,9,88.295,21.9,103.871
15,right,M6,10,88.886,22.769,99.46
16,left,M5,5,89.138,-13.705,109.267
16,left,M5,1,98.179,-8.22,116.51
16,left,M5,2,97.802,-9.457,112.099
16,left,M5,3,97.426,-10.688,107.711
16,left,M5,4,93.337,-12.177,108.479
16,left,M5,10,87.546,-25.687,103.461
16,left,M5,6,84.972,-15.221,110.048
16,left,M5,7,86.568,-19.114,111.004
16,left,M5,8,88.278,-23.283,112.028
16,left,M5,9,87.915,-24.475,107.781
16,right,M9,6,90.585,34.894,109.325
16,right,M9,2,87.654,23.023,116.731
16,right,M9,3,86.571,22.318,112.324
16,right,M9,4,87.908,26.509,111.325
16,right,M9,5,89.248,30.704,110.325
16,right,M9,1,88.719,23.716,121.06
16,right,M9,7,89.526,34.205,105.017
16,right,M9,8,88.457,33.51,100.672
16,right,M9,9,92.609,31.999,99.893
16,right,M9,10,96.833,30.461,99.1
17,left,M9,6,90.585,-9.106,109.325
17,left,M9,2,87.654,-20.977,116.731
17,left,M9,3,86.571,-21.682,112.324
17,left,M9,4,87.908,-17.491,111.325
17,left,M9,5,89.248,-13.296,110.325
17,left,M9,1,88.719,-20.284,121.06
17,left,M9,7,89.526,-9.795,105.017
17,left,M9,8,88.457,-10.49,100.672
17,left,M9,9,92.609,-12.001,99.893
17,left,M9,10,96.833,-13.539,99.1
17,right,M9,6,87.066,21.138,109.325
17,right,M9,2,98.812,24.535,116.731
17,right,M9,3,99.964,23.949,112.324
17,right,M9,4,95.667,23.012,111.325
17,right,M9,5,91.364,22.074,110.325
17,right,M9,1,97.68,25.11,121.06
17,right,M9,7,88.193,20.565,105.017
17,right,M9,8,89.329,19.987,100.672
17,right,M9,9,88.562,24.338,99.893
17,right,M9,10,87.781,28.765,99.1
18,left,M2,6,91.45,-11.564,104.143
18,left,M2,2,92.386,-12.508,118.315
18,left,M2,3,88.248,-13.773,117.074
18,left,M2,4,89.311,-13.04,112.782
18,left,M2,5,90.371,-12.308,108.499
18,left,M2,1,96.617,-11.215,119.584
18,left,M2,7,92.853,-15.786,103.769
18,left,M2,8,94.201,-19.843,103.409
18,left,M2,9,95.619,-24.112,103.031
18,left,M2,10,91.527,-25.363,101.804
18,right,M1,6,98.5,22.542,105.626
18,right,M1,2,96.379,27.172,118.744
18,right,M1,3,94.686,22.901,118.358
18,right,M1,4,95.987,22.779,114.014
18,right,M1,5,97.291,22.656,109.662
18,right,M1,1,98.09,31.489,119.135
18,right,M1,7,94.574,24.208,104.403
18,right,M1,8,90.572,25.907,103.156
18,right,M1,9,86.639,27.576,101.931
18,right,M1,10,84.966,23.356,101.549
19,left,M5,5,96.327,-20.489,109.618
19,left,M5,1,88.748,-23.418,119.532
19,left,M5,2,88.344,-23.48,114.953
19,left,M5,3,87.943,-23.541,110.399
19,left,M5,4,92.079,-22.035,110.014
19,left,M5,10,96.713,-10.675,100.489
19,left,M5,6,100.541,-18.956,109.226
19,left,M5,7,99.072,-14.9,109.301
19,left,M5,8,97.498,-10.556,109.381
