ID,dimension,condition,stimulus,Number of Fixations,Relative Number of Fixations,Number of Saccades,Relative Number of Saccades
168,2,first,28,7,1.5452538631346477,6,1.3245033112582696
168,2,first,29,9,1.8010806483890334,12,2.4014408645187113
168,2,first,30,5,1.6134236850597024,6,1.936108422071643
168,3,second,1,8,2.294235732721541,9,2.581015199311733
168,3,second,2,7,2.000571591883398,5,1.4289797084881415
168,3,second,3,5,1.1113580795732327,6,1.3336296954878792
168,3,second,4,8,2.0518081559374193,7,1.795332136445242
168,3,second,5,7,1.8430753027909417,5,1.316482359136387
168,3,second,6,6,1.0289830217801377,4,0.6859886811867584
168,3,second,7,6,1.8957345971564028,5,1.5797788309636691
168,3,second,8,4,0.9356725146198818,4,0.9356725146198818
168,3,second,9,10,1.4810426540284338,10,1.4810426540284338
168,3,second,10,9,2.138275124732714,7,1.6631028747921108
168,3,second,11,6,2.5839793281653716,5,2.153316106804476
168,3,second,12,4,1.9361084220716336,3,1.4520813165537252
168,3,second,13,9,1.5035081857667845,7,1.169395255596388
168,3,second,14,9,3.179088661250422,7,2.472624514305884
168,3,second,15,8,2.8238616307800934,5,1.7649135192375585
168,3,second,16,6,1.8192844147968457,5,1.5160703456640379
168,3,second,17,7,3.0017152658662174,5,2.144082332761584
168,3,second,18,8,1.4917024053701284,10,1.8646280067126606
168,3,second,19,6,1.6882386043894193,4,1.1254924029262796
168,3,second,20,4,1.5797788309636673,6,2.369668246445501
168,3,second,21,10,1.8642803877703191,7,1.3049962714392234
168,3,second,22,4,1.8752930145335123,5,2.34411626816689
168,3,second,23,5,1.6313213703099523,4,1.3050570962479617
168,3,second,24,9,2.6753864447086766,8,2.3781212841854904
168,3,second,25,6,2.0703933747412036,6,2.0703933747412036
168,3,second,26,8,2.023267577137072,6,1.517450682852804
168,3,second,27,6,2.04638472032742,5,1.70532060027285
168,3,second,28,6,2.144388849177983,5,1.7869907076483191
168,3,second,29,8,2.052334530528478,6,1.5392508978963586
168,3,second,30,5,1.9238168526356159,4,1.5390534821084927
169,2,second,1,15,3.019323671497591,14,2.8180354267310848
169,2,second,2,18,2.5430912687199765,16,2.2605255721955344
169,2,second,3,28,2.8815478028198003,27,2.778635381290522
169,2,second,4,7,1.978518937252695,10,2.826455624646707
169,2,second,5,9,2.9980013324450274,6,1.9986675549633517
169,2,second,6,8,2.769124264451358,7,2.422983731394938
169,2,second,7,9,2.3866348448687438,13,3.447361442588185
169,2,second,8,12,2.3014959723820487,13,2.4932873034138865
169,2,second,9,11,2.6017029328287555,14,3.3112582781456887
169,2,second,10,19,2.8674916993661435,19,2.8674916993661435
169,2,second,11,10,2.838489923360775,12,3.4061879080329303
169,2,second,12,18,2.6998650067496732,19,2.8498575071246552
169,2,second,13,11,3.126776577600909,11,3.126776577600909
169,2,second,14,6,2.003338898163603,11,3.672787979966605
169,2,second,15,13,3.0204460966542737,11,2.5557620817843856
169,2,second,16,12,2.761795166858459,16,3.682393555811278
169,2,second,17,11,2.432551968155688,11,2.432551968155688
169,2,second,18,12,2.903459956448074,12,2.903459956448074
169,2,second,19,15,2.6780931976432782,14,2.4995536511337266
169,2,second,20,5,2.3386342376052016,7,3.2740879326472823
169,2,second,21,23,2.9897309242168157,22,2.859742623163911
169,2,second,22,25,2.7858257187430344,25,2.7858257187430344
169,2,second,23,28,2.9473684210526314,27,2.8421052631578947
169,2,second,24,19,2.4203821656050972,20,2.5477707006369443
169,2,second,25,13,3.2451323015476783,10,2.4962556165751373
169,2,second,26,13,2.707205331112041,12,2.4989587671803455
169,2,second,27,11,3.8555906063792382,8,2.8040658955485367
169,2,second,28,16,2.8474817583200003,13,2.313578928635
169,2,second,29,35,3.0208872777490074,27,2.330398757120663
169,2,second,30,6,2.771362586605091,7,3.2332563510392727
169,3,first,1,10,2.991325157044568,10,2.991325157044568
169,3,first,2,9,2.1211407023332502,13,3.06386990337025
169,3,first,3,21,3.0012862655423813,14,2.0008575103615875
169,3,first,4,9,2.7075812274368594,8,2.406738868832764
169,3,first,5,7,2.681992337164766,7,2.681992337164766
169,3,first,6,8,2.5748310267138717,7,2.252977148374638
169,3,first,7,14,3.089825645552854,12,2.6484219819024464
169,3,first,8,13,2.9056772463120133,12,2.68216361198032
169,3,first,9,13,2.855260267955196,12,2.635624862727873
169,3,first,10,8,2.2948938611589185,10,2.868617326448648
169,3,first,11,10,2.143622722400861,13,2.7867095391211194
169,3,first,12,9,1.618122977346283,15,2.696871628910472
169,3,first,13,35,2.6154535943805106,36,2.6901808399342393
169,3,first,14,9,2.247191011235957,11,2.7465667915106144
169,3,first,15,12,2.5311115798354704,14,2.9529635098080487
169,3,first,16,12,3.8034865293185405,9,2.8526148969889054
169,3,first,17,13,3.0638699033702603,13,3.0638699033702603
169,3,first,18,7,2.6070763500931076,7,2.6070763500931076
169,3,first,19,6,3.103983445421636,7,3.6213140196585756
169,3,first,20,7,3.354096789650233,6,2.8749401054144856
169,3,first,21,12,2.246349681767123,14,2.6207412953949767
169,3,first,22,22,2.599550986647754,20,2.3632281696797763
169,3,first,23,16,3.216080402010054,14,2.8140703517587973
169,3,first,24,8,2.738788086271832,7,2.396439575487853
169,3,first,25,12,2.759889604415815,13,2.9898804047837997
169,3,first,26,9,2.614758861127245,9,2.614758861127245
169,3,first,27,7,3.04480208786428,8,3.4797738147020345
169,3,first,28,6,2.260738507912588,6,2.260738507912588
169,3,first,29,15,3.310527477378058,13,2.8691238137276502
169,3,first,30,12,2.6672593909757922,10,2.2227161591464935
171,2,second,1,21,1.817867036011079,23,1.990997229916896
171,2,second,2,30,1.7562346329469625,20,1.1708230886313082
171,2,second,3,36,1.6362892595791096,27,1.2272169446843322
171,2,second,4,9,2.0974131903985103,8,1.8643672803542313
171,2,second,5,16,2.4312414526667614,8,1.2156207263333807
171,2,second,6,8,2.540489044140996,5,1.5878056525881228
171,2,second,7,12,2.3589541969726806,9,1.7692156477295105
171,2,second,8,11,1.9458694498496403,9,1.592075004422433
171,2,second,9,14,2.273096281863942,10,1.623640201331387
171,2,second,10,11,2.294534835210661,10,2.085940759282419
171,2,second,11,22,1.732147075033463,17,1.3384772852531306
171,2,second,12,20,2.570694087403608,16,2.056555269922886
171,2,second,13,13,2.620967741935494,10,2.0161290322580725
171,2,second,14,12,2.1743069396629804,9,1.6307302047472352
171,2,second,15,22,2.4365931996898893,12,1.329050836194485
171,2,second,16,12,1.8284321194575646,11,1.676062776169434
171,2,second,17,8,1.4561339643247255,11,2.0021842009464974
171,2,second,18,22,1.6563770516488503,14,1.0540581237765412
171,2,second,19,16,2.0706613174582698,9,1.1647469910702768
171,2,second,20,8,2.8653295128940104,5,1.7908309455587565
171,2,second,21,22,2.287377833229356,13,1.351632355999165
171,2,second,22,32,2.236980076896189,20,1.398112548060118
171,2,second,23,22,1.7121955015954562,9,0.7004436142890503
171,2,second,24,14,2.5482344375682695,12,2.1842009464870884
171,2,second,25,26,1.8597997138769646,19,1.359084406294705
171,2,second,26,10,2.2251891410769775,8,1.780151312861582
171,2,second,27,7,2.472624514305884,7,2.472624514305884
171,2,second,28,36,2.2383883603805224,16,0.9948392712802321
171,2,second,29,27,2.0293122886133044,14,1.0522360015031949
171,2,second,30,9,2.650176678445218,6,1.766784452296812
171,3,first,1,16,1.4684287812041132,16,1.4684287812041132
171,3,first,2,11,1.3318803729265067,15,1.8162005085361455
171,3,first,3,15,1.8761726078799243,14,1.7510944340212626
171,3,first,4,11,1.854661945708992,10,1.6860563142809017
171,3,first,5,18,2.2542266750156505,11,1.3775829680651197
171,3,first,6,4,0.5050505050505041,9,1.136363636363634
171,3,first,7,58,2.348178137651823,28,1.1336032388663972
171,3,first,8,12,1.3421317526003842,16,1.7895090034671788
171,3,first,9,24,2.1396095212623725,13,1.1589551573504517
171,3,first,10,18,2.088651659317705,9,1.0443258296588525
171,3,first,11,19,1.423220973782769,16,1.1985018726591739
171,3,first,12,12,1.650846058605034,9,1.2381345439537754
171,3,first,13,13,2.380516388939749,9,1.6480498077275185
171,3,first,14,15,1.2125131355589707,14,1.131678926521706
171,3,first,15,24,1.5946843853820587,24,1.5946843853820587
171,3,first,16,47,1.7482517482517475,41,1.5250706740068436
171,3,first,17,17,1.9034822528272224,17,1.9034822528272224
171,3,first,18,22,1.7733354828308874,21,1.6927293245203925
171,3,first,19,22,2.858256463557229,15,1.9488112251526561
171,3,first,20,12,2.3090244371752924,6,1.1545122185876462
171,3,first,21,48,1.6464293064416546,35,1.2005213692803731
171,3,first,22,13,0.8881601421056261,27,1.8446402951424543
171,3,first,23,17,1.4773616059789705,14,1.2166507343356228
171,3,first,24,43,2.009251904116629,32,1.4952572309705148
171,3,first,25,24,2.5173064820641935,16,1.678204321376129
171,3,first,26,31,1.751016719385449,29,1.638047898779936
171,3,first,27,8,2.052334530528478,8,2.052334530528478
171,3,first,28,13,1.4667719733724474,22,2.4822294933995264
171,3,first,29,15,1.6947237600271157,17,1.9206869280307313
171,3,first,30,5,0.3500420050406037,23,1.6101932231867768
172,2,first,1,8,1.464396851546771,11,2.01354567087681
172,2,first,2,19,2.416073245167852,18,2.288911495422176
172,2,first,3,3,0.28771458712956766,0,0.0
172,2,first,4,12,2.6115342763873945,8,1.7410228509249297
172,2,first,5,14,1.9651880965749513,10,1.4037057832678224
172,2,first,6,13,1.8184361449153725,16,2.2380752552804584
172,2,first,7,15,1.8277080541001598,17,2.0714024613135145
172,2,first,8,17,2.049180327868851,19,2.290260366441657
172,2,first,9,3,1.034839599862021,8,2.759572266298723
172,2,first,10,31,2.162388392857141,27,1.883370535714284
172,2,first,11,11,1.821795296455781,16,2.649884067572045
172,2,first,12,7,1.879699248120306,9,2.416756176154679
172,2,first,13,12,3.4762456546929337,10,2.896871378910778
172,2,first,14,21,1.9236053860950808,21,1.9236053860950808
172,2,first,15,12,2.2271714922049033,14,2.5983667409057207
172,2,first,16,8,2.1633315305570533,11,2.9745808545159482
172,2,first,17,13,1.8619306788885783,18,2.578057863076493
172,2,first,18,12,2.4033647105948353,11,2.2030843180452657
172,2,first,19,12,2.1123041718007456,14,2.46435486710087
172,2,first,20,8,2.199615067363211,9,2.474566950783612
172,2,first,21,25,2.0962602716753285,29,2.4316619151433807
172,2,first,22,16,1.5114301908180638,12,1.1335726431135478
172,2,first,23,19,2.2105875509016872,12,1.3961605584642236
172,2,first,24,8,1.9526482792286999,10,2.440810349035875
172,2,first,25,13,3.051643192488229,11,2.5821596244131166
172,2,first,26,15,3.4650034650034587,7,1.6170016170016142
172,2,first,27,7,2.1380574221136217,8,2.443494196701282
172,2,first,28,10,2.8785261945883325,6,1.7271157167529994
172,2,first,29,7,1.6455101081335195,14,3.291020216267039
172,2,first,30,13,2.5681548794942795,9,1.7779533781114243
172,3,second,1,9,2.486187845303874,10,2.7624309392265265
172,3,second,2,8,2.3303233323623607,9,2.621613748907656
172,3,second,3,10,3.0950170225936295,7,2.1665119158155406
172,3,second,4,12,2.093144950287806,14,2.4420024420024404
172,3,second,5,4,1.8752930145335123,5,2.34411626816689
172,3,second,6,7,3.151733453399364,5,2.2512381809995454
172,3,second,7,11,1.282948448798694,22,2.565896897597388
172,3,second,8,11,1.5074688228038926,19,2.6038097848430874
172,3,second,9,8,2.0757654385054494,9,2.3352361183186305
172,3,second,10,10,1.82982616651418,11,2.012808783165598
172,3,second,11,4,1.4635931211123285,5,1.8294914013904107
172,3,second,12,11,2.463605823068307,9,2.0156774916013425
172,3,second,13,5,1.9230769230769063,6,2.3076923076922875
172,3,second,14,4,1.5003750937734452,7,2.625656414103529
172,3,second,15,10,2.5081514923501422,9,2.257336343115128
172,3,second,16,24,2.4640657084188895,14,1.437371663244352
172,3,second,17,13,1.9188191881918804,19,2.8044280442804403
172,3,second,18,7,2.1439509954058282,9,2.7565084226646364
172,3,second,19,14,1.9393267765618523,15,2.0778501177448416
172,3,second,20,4,1.42857142857143,7,2.5000000000000027
172,3,second,21,10,1.0208248264597772,17,1.7354022049816216
172,3,second,22,14,2.433512949765346,14,2.433512949765346
172,3,second,23,25,2.2220247089147636,22,1.9553817438449919
172,3,second,24,15,2.024838012958963,17,2.294816414686825
172,3,second,25,13,2.259297879735851,13,2.259297879735851
172,3,second,26,27,2.2037218413320256,25,2.0404831864185424
172,3,second,27,6,2.7297543221110008,6,2.7297543221110008
172,3,second,28,5,2.273760800363804,4,1.819008640291043
172,3,second,29,22,2.630320420851266,19,2.271640363462457
172,3,second,30,7,2.693343593689892,6,2.308580223162765
174,2,first,1,9,2.2443890274314264,6,1.496259351620951
174,2,first,2,16,2.532446976891422,10,1.582779360557139
174,2,first,3,4,0.9617696561673466,9,2.1639817263765297
174,2,first,4,16,1.4943494909872055,13,1.2141589614271044
174,2,first,5,4,1.4986886474335055,7,2.6227051330086346
174,2,first,6,11,1.9985465116279104,9,1.635174418604654
174,2,first,7,7,1.7798118484617373,8,2.0340706839562714
174,2,first,8,11,2.3706896551724137,10,2.155172413793103
174,2,first,9,15,2.2088057723457526,10,1.4725371815638353
174,2,first,10,20,2.4627508927472044,10,1.2313754463736022
174,2,first,11,13,2.554529377087837,8,1.5720180782078998
174,2,first,12,5,1.6716817118020812,7,2.3403543965229137
174,2,first,13,5,1.216249087813187,9,2.189248358063737
174,2,first,14,8,2.213613724405089,9,2.490315439955725
174,2,first,15,11,2.3089840470193135,7,1.469353484466836
174,2,first,16,9,2.7941633033219593,6,1.862775535547973
174,2,first,17,9,2.1276595744680757,12,2.836879432624101
174,2,first,18,10,1.9642506383814762,8,1.571400510705181
174,2,first,19,15,1.6132501613250159,16,1.7208001720800168
174,2,first,20,5,1.8860807242549906,5,1.8860807242549906
